"year","mean.sea.level.mm","mean.sea.level.m","flag1","flag2"
1948,7021,7.021,"N",0
1949,6982,6.982,"N",0
1950,6974,6.974,"N",0
1951,7018,7.018,"N",0
1952,7033,7.033,"N",0
1953,7030,7.03,"N",0
1954,7032,7.032,"N",0
1955,7030,7.03,"N",0
1956,7023,7.023,"N",0
1957,7015,7.015,"N",0
1958,7068,7.068,"N",0
1959,7017,7.017,"N",0
1960,7065,7.065,"N",0
1961,7048,7.048,"N",0
1962,7058,7.058,"N",0
1963,7047,7.047,"N",0
1964,7035,7.035,"N",0
1965,7092,7.092,"N",0
1966,7092,7.092,"N",0
1967,7086,7.086,"N",0
1968,7053,7.053,"N",0
1969,7086,7.086,"N",0
1970,7090,7.09,"N",0
1971,7086,7.086,"N",0
1972,NA,NA,"N",0
1973,7035,7.035,"N",0
1974,7070,7.07,"N",0
1975,7081,7.081,"N",0
1976,NA,NA,"N",0
1977,NA,NA,"N",0
1978,7118,7.118,"N",0
1979,7090,7.09,"N",0
1980,NA,NA,"N",0
1981,7105,7.105,"N",0
1982,7067,7.067,"N",0
1983,7134,7.134,"N",0
1984,7103,7.103,"N",0
1985,7096,7.096,"N",0
1986,7096,7.096,"Y",0
1987,7110,7.11,"N",0
1988,7088,7.088,"N",0
1989,7050,7.05,"N",0
1990,NA,NA,"N",0
1991,7111,7.111,"N",0
1992,7116,7.116,"N",0
1993,7120,7.12,"N",0
1994,7088,7.088,"N",0
1995,NA,NA,"N",0
1996,7139,7.139,"N",0
1997,7144,7.144,"Y",0
1998,NA,NA,"N",0
1999,NA,NA,"N",0
2000,NA,NA,"N",0
2001,NA,NA,"N",0
2002,7105,7.105,"N",0
2003,7113,7.113,"N",0
2004,7104,7.104,"N",0
2005,7150,7.15,"N",0
2006,7150,7.15,"N",0
2007,7117,7.117,"N",0
2008,7132,7.132,"N",0
2009,7155,7.155,"N",0
2010,7219,7.219,"N",0
2011,7190,7.19,"N",0
2012,7177,7.177,"N",0
2013,7169,7.169,"N",0
2014,7160,7.16,"Y",0
2015,7134,7.134,"Y",0
2016,7180,7.18,"N",0
2017,7190,7.19,"N",0
2018,7171,7.171,"N",0
2019,7204,7.204,"Y",0
2020,7194,7.194,"N",0
2021,7204,7.204,"N",0
2022,7201,7.201,"N",0
2023,7266,7.266,"N",0
2024,7254,7.254,"N",0
